"name[""en-US""]";"name[""fi-FI""]";aliases;parent;attribute:GHG (kgCO₂e);attribute:GHG (kgCO₂e/kg);attribute:GHG (kgCO₂/kWh);attribute:GHG (kgCO₂e/km);attribute:GHG (kgCO₂e/l);attribute:GHG (kgCO₂e/EUR);attribute:Land use (m²/kg);attribute:Land use (m²/l);attribute:Eutrophication (gPO₄eq/kg);attribute:Eutrophication (gPO₄eq/l);attribute:Freshwater footprint (l/kg);attribute:Freshwater footprint (l/l);note;sourceId
Frozen Vegetable Mix, Average, Boiled Without Salt;;"[""Lämpimiä kasviksia"", ""Lämpimät kasvikset""]";;;;;;;;;;;;;;;
Frozen Vegetable Mix, Broccoli-Carrot-Sweet Pepper, Kartanon Kasvikset;;"[""Cooked vegetables"", ""Keitetyt kasvikset""]";;;;;;;;;;;;;;;
Frozen Vegetable Mix, Pea-Sweet Corn-Sweet Pepper;;"[""Herne-maissi-paprika""]";;;;;;;;;;;;;;;
Frozen Vegetable Mix, Root Vegetables;;"[""Keittovihannekset""]";;;;;;;;;;;;;;;
Fruit and berry dishes;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Fruit and berry dishes;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Fruit Puree, Unsweetened, 100 % Fruit;;"[""Päärynäsose""]";;;;;;;;;;;;;;;
Fruits;;;;;;;;;;0,89;;;;;;Other Fruit;1
Fruits;;;;;;;;;;;;2,43;;;;Other Fruit;1
Fruits;;;;;;;;;;;;;;154;;Other Fruit;1
Fruits;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Fruits;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Furniture;Huonekalut;;Interior design;;;;;;0,42;;;;;;;Huonekalut, matot;2
Furniture;Huonekalut;;Interior design;;;;;;0,42;;;;;;;Huonekalut, matot;2
Glue stick;Liimapuikko;;Supplies;;;;;;0,46;;;;;;;Factory products;2
Glue stick;Liimapuikko;;Supplies;;;;;;0,46;;;;;;;Factory products;2
Grape, Average, Green Or Red;;;;;;;;;;2,41;;;;;;Berries & Grapes;1
Grape, Average, Green Or Red;;;;;;;;;;;;6,12;;;;Berries & Grapes;1
Grape, Average, Green Or Red;;;;;;;;;;;;;;420;;Berries & Grapes;1
Grapefruit Juice, Unsweetened, Vitamin C;;"[""Verigreippitäysmehu""]";;;;;;;;;;;;;;;
Hair products;Hiustuotteet;"[""Hiuslenkki""]";Supplies;;;;;;0,4;;;;;;;Personal items;2
Hair products;Hiustuotteet;"[""Hiuslenkki""]";Supplies;;;;;;0,4;;;;;;;Personal items;2
Hairdresser;Kampaamo;;Recreational services;;;;;;0,2;;;;;;;;
Headphones;Kuulokkeet;;Electronics;;;;;;;;;;;;;;
Healthcare products;Terveydenhoitotuotteet;;Supplies;;;;;;0,51;;;;;;;Kestokulutustavarat, terveydenhoitotuotteet keskiarvo;2
Healthcare products;Terveydenhoitotuotteet;;Supplies;;;;;;0,51;;;;;;;Kestokulutustavarat, terveydenhoitotuotteet keskiarvo;2
Healthcare services;Terveydenhuoltopalvelut;;Services;;;;;;0,2;;;;;;;Terveydenhuolto- ja eläinlääkintäpalvelut;2
Healthcare services;Terveydenhuoltopalvelut;;Services;;;;;;0,2;;;;;;;Terveydenhuolto- ja eläinlääkintäpalvelut;2
Housekeeping products;Kodinhoitotuotteet;;Supplies;;;;;;0,4;;;;;;;Housekeeping products and services;2
Housekeeping products;Kodinhoitotuotteet;;Supplies;;;;;;0,4;;;;;;;Housekeeping products and services;2
Housekeeping tools;Kodinhoitotyökalut;;Supplies;;;;;;0,5;;;;;;;Tools and appliances for housekeeping and gardening;2
Housekeeping tools;Kodinhoitotyökalut;;Supplies;;;;;;0,5;;;;;;;Tools and appliances for housekeeping and gardening;2
Hummus, Chick Pea Paste;;"[""Hummus""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Hummus, Chick Pea Paste;;"[""Hummus""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Hygiene products;Hygieniatuotteet;"[""Nestesaippua"", ""Käsisaippua""]";Supplies;;;;;;0,4;;;;;;;Personal items;2
Hygiene products;Hygieniatuotteet;"[""Nestesaippua"", ""Käsisaippua""]";Supplies;;;;;;0,4;;;;;;;Personal items;2
Interior design;Sisustus;;Supplies;;;;;;0,67;;;;;;;Kodintaloustekstiilit, sisustus, astiat keskiarvo;2
Interior design;Sisustus;;Supplies;;;;;;0,67;;;;;;;Kodintaloustekstiilit, sisustus, astiat keskiarvo;2
Jams;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Jams;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Juices;Juomat;;;;;;;;0,7;;;;;;;Alkoholittomat juomat;2
Juices;Juomat;;;;;;;;0,7;;;;;;;Alkoholittomat juomat;2
Karelian Pasty, Rice Filling, Saarioinen;;"[""Riisipiirakka""]";;;;;;;;;;;;;;;
Kitchen;Keittiö;;Supplies;;;;;;;;;;;;;;
Lamb/mutton;;;;;;;;;;369,81;;;;;;Lamb & Mutton;1
Lamb/mutton;;;;;;;;;;;;97,13;;;;Lamb & Mutton;1
Lamb/mutton;;;;;;;;;;;;;;1803;;Lamb & Mutton;1
